domain,type,comm_pol
10tv.com,Commercial broadcaster,NA
20minutes.fr,Tabloid newspaper,NA
20minutos.es,Tabloid newspaper,NA
20mn.fr,Tabloid newspaper,NA
24economia.com,Digital-born news outlet,NA
3sat.de,Public broadcaster,NA
6abc.com,Commercial broadcaster,NA
abc.es,Quality newspaper/magazine,NA
abc.net.au,Public broadcaster,NA
abc13.com,Commercial broadcaster,NA
abc15.com,Commercial broadcaster,NA
abc7.com,Commercial broadcaster,NA
abc7chicago.com,Commercial broadcaster,NA
abc7ny.com,Commercial broadcaster,NA
abcactionnews.com,Commercial broadcaster,NA
abcn.ws,Commercial broadcaster,NA
abendblatt.de,Quality newspaper/magazine,NA
abendzeitung-muenchen.de,Tabloid newspaper,NA
actu.fr,Quality newspaper/magazine,NA
actualites-la-croix.com,Quality newspaper/magazine,NA
actuall.com,Hyperpartisan media,NA
adnkronos.com,Quality newspaper/magazine,NA
affaritaliani.it,Digital-born news outlet,NA
agoravox.fr,Digital-born news outlet,NA
alertadigital.com,Hyperpartisan media,NA
aljazeera.com,Commercial broadcaster,NA
anonymousnews.ru,Hyperpartisan media,NA
ansa.it,Quality newspaper/magazine,NA
antena3.com,Commercial broadcaster,NA
apnews.com,Quality newspaper/magazine,NA
ara.cat,Quality newspaper/magazine,NA
arcamax.com,Digital-born news outlet,NA
ard.de,Public broadcaster,NA
ardmediathek.de,Public broadcaster,NA
ard-text.de,Public broadcaster,NA
arte.tv,Public broadcaster,NA
atresplayer.com,Commercial broadcaster,NA
augsburger-allgemeine.de,Quality newspaper/magazine,NA
avvenire.it,Quality newspaper/magazine,NA
badische-zeitung.de,Quality newspaper/magazine,NA
baltimoresun.com,Quality newspaper/magazine,NA
bbc.co.uk,Public broadcaster,NA
bbc.com,Public broadcaster,NA
bento.de,Digital-born news outlet,NA
bergamopost.it,Quality newspaper/magazine,NA
berliner-kurier.de,Tabloid newspaper,NA
berliner-zeitung.de,Quality newspaper/magazine,NA
bfmtv.com,Commercial broadcaster,1
bild.de,Tabloid newspaper,NA
blick.ch,Tabloid newspaper,NA
blick.de,Tabloid newspaper,NA
blitzquotidiano.it,Digital-born news outlet,NA
bloomberg.com,Quality newspaper/magazine,NA
bo.de,Quality newspaper/magazine,NA
boston25news.com,Commercial broadcaster,NA
bostonglobe.com,Quality newspaper/magazine,NA
br.de,Public broadcaster,NA
breaknotizie.com,Digital-born news outlet,NA
breitbart.com,Hyperpartisan media,NA
businessinsider.com,Digital-born news outlet,NA
businessinsider.de,Digital-born news outlet,NA
buzzfeed.com,Digital-born news outlet,NA
buzzfeednews.com,Digital-born news outlet,NA
bz-berlin.de,Tabloid newspaper,NA
cadenaser.com,Commercial broadcaster,NA
caffeinamagazine.it,Digital-born news outlet,NA
canal.fr,Commercial broadcaster,NA
canal-plus.com,Commercial broadcaster,NA
canarias7.es,Quality newspaper/magazine,NA
capital.fr,Quality newspaper/magazine,NA
casoaislado.com,Hyperpartisan media,NA
cataniatoday.it,Quality newspaper/magazine,NA
cbc.ca,Public broadcaster,NA
cbs.com,Commercial broadcaster,NA
cbsloc.al,Commercial broadcaster,NA
cbslocal.com,Commercial broadcaster,NA
cbsn.ws,Commercial broadcaster,NA
cbsnews.com,Commercial broadcaster,1
ccma.cat,Public broadcaster,NA
challenges.fr,Quality newspaper/magazine,NA
channel4.com,Public broadcaster,NA
channel7breakingreport.live,Commercial broadcaster,NA
chicagotribune.com,Quality newspaper/magazine,NA
cnbc.com,Commercial broadcaster,NA
cnews.fr,Digital-born news outlet,NA
cnn.com,Commercial broadcaster,1
cnn.it,Commercial broadcaster,1
conservativebuzz.com,Hyperpartisan media,NA
conservativedailypost.com,Hyperpartisan media,NA
conservativeinstitute.org,Hyperpartisan media,NA
cope.es,Commercial broadcaster,NA
corriere.it,Quality newspaper/magazine,NA
corriereadriatico.it,Quality newspaper/magazine,NA
courrierdelouest.fr,Quality newspaper/magazine,NA
courrierinternational.com,Quality newspaper/magazine,NA
ctxt.es,Digital-born news outlet,NA
cuatro.com,Commercial broadcaster,NA
dailyconservative.com,Hyperpartisan media,NA
dailykos.com,Hyperpartisan media,NA
dailymail.co.uk,Tabloid newspaper,NA
dailyrecord.co.uk,Tabloid newspaper,NA
dailystar.co.uk,Tabloid newspaper,NA
dailywire.com,Hyperpartisan media,NA
dallasnews.com,Quality newspaper/magazine,NA
daserste.de,Public broadcaster,NA
daytondailynews.com,Quality newspaper/magazine,NA
democratandchronicle.com,Quality newspaper/magazine,NA
denverpost.com,Quality newspaper/magazine,NA
derbytelegraph.co.uk,Quality newspaper/magazine,NA
derwesten.de,Digital-born news outlet,NA
diaridegirona.cat,Quality newspaper/magazine,NA
diaridetarragona.com,Quality newspaper/magazine,NA
diariocordoba.com,Quality newspaper/magazine,NA
diariodeibiza.es,Quality newspaper/magazine,NA
diariodeleon.es,Quality newspaper/magazine,NA
diariodemallorca.es,Quality newspaper/magazine,NA
diariodenavarra.es,Quality newspaper/magazine,NA
diariodesevilla.es,Quality newspaper/magazine,NA
diarioinformacion.com,Quality newspaper/magazine,NA
diariojaen.es,Quality newspaper/magazine,NA
diariolibre.com,Quality newspaper/magazine,NA
diariosur.es,Quality newspaper/magazine,NA
diariovasco.com,Quality newspaper/magazine,NA
digitalsevilla.com,Hyperpartisan media,NA
drudgereport.com,Hyperpartisan media,NA
dw.com,Public broadcaster,NA
ecodibergamo.it,Quality newspaper/magazine,NA
economiadigital.es,Digital-born news outlet,NA
economist.com,Quality newspaper/magazine,NA
elboletin.com,Digital-born news outlet,NA
elcomercio.es,Quality newspaper/magazine,NA
elconfidencial.com,Digital-born news outlet,NA
elconfidencialdigital.com,Digital-born news outlet,NA
elcorreo.com,Quality newspaper/magazine,NA
elcorreodemadrid.com,Hyperpartisan media,NA
elcorreogallego.es,Quality newspaper/magazine,NA
elcorreoweb.es,Quality newspaper/magazine,NA
eldia.es,Quality newspaper/magazine,NA
eldiario.es,Digital-born news outlet,NA
eldiariomontanes.es,Quality newspaper/magazine,NA
eldigitalcastillalamancha.es,Digital-born news outlet,NA
eleconomista.es,Quality newspaper/magazine,NA
elespanol.com,Digital-born news outlet,NA
elmundo.es,Quality newspaper/magazine,NA
el-nacional.com,Quality newspaper/magazine,NA
elnortedecastilla.es,Quality newspaper/magazine,NA
elpais.com,Quality newspaper/magazine,NA
elperiodico.com,Quality newspaper/magazine,NA
elperiodicoextremadura.com,Quality newspaper/magazine,NA
eltiempo.com,Quality newspaper/magazine,NA
epochtimes.de,Hyperpartisan media,NA
epochtimes.fr,Hyperpartisan media,NA
esdiario.com,Hyperpartisan media,NA
estrelladigital.es,Digital-born news outlet,NA
estrepublicain.fr,Quality newspaper/magazine,NA
euro-actu.fr,Quality newspaper/magazine,NA
euronews.com,Commercial broadcaster,1
europapress.es,Quality newspaper/magazine,NA
europe1.fr,Commercial broadcaster,NA
eveningtimes.co.uk,Tabloid newspaper,NA
expansion.com,Quality newspaper/magazine,NA
express.co.uk,Tabloid newspaper,NA
express.de,Tabloid newspaper,NA
expressandstar.com,Quality newspaper/magazine,NA
fanpage.it,Digital-born news outlet,NA
faz.net,Quality newspaper/magazine,NA
fdesouche.com,Hyperpartisan media,NA
finanzen.net,Digital-born news outlet,NA
firstcoastnews.com,Commercial broadcaster,NA
fivethirtyeight.com,Digital-born news outlet,NA
fnp.de,Quality newspaper/magazine,NA
focus.de,Quality newspaper/magazine,NA
forbes.com,Quality newspaper/magazine,NA
fortune.com,Quality newspaper/magazine,NA
fox.com,Commercial broadcaster,NA
fox13news.com,Commercial broadcaster,NA
fox13now.com,Commercial broadcaster,NA
fox2now.com,Commercial broadcaster,NA
fox4kc.com,Commercial broadcaster,NA
fox59.com,Commercial broadcaster,NA
fox6now.com,Commercial broadcaster,NA
fox8.com,Commercial broadcaster,NA
fox9.com,Commercial broadcaster,NA
foxbusiness.com,Commercial broadcaster,NA
foxla.com,Commercial broadcaster,NA
foxnews.com,Commercial broadcaster,1
fr.de,Quality newspaper/magazine,NA
france.tv,Public broadcaster,NA
france24.com,Public broadcaster,1
france3.fr,Public broadcaster,NA
francebleu.fr,Public broadcaster,NA
franceculture.fr,Public broadcaster,NA
franceinter.fr,Public broadcaster,NA
francesoir.fr,Digital-born news outlet,NA
francetelevisions.fr,Public broadcaster,NA
francetv.fr,Public broadcaster,NA
francetvinfo.fr,Public broadcaster,1
freiepresse.de,Quality newspaper/magazine,NA
ft.com,Quality newspaper/magazine,NA
gaceta.es,Hyperpartisan media,NA
gasteizhoy.com,Digital-born news outlet,NA
gazzettadelsud.it,Quality newspaper/magazine,NA
gazzettadiparma.it,Quality newspaper/magazine,NA
giornaledibrescia.it,Quality newspaper/magazine,NA
giornaledilecco.it,Quality newspaper/magazine,NA
giornaledimonza.it,Quality newspaper/magazine,NA
giornaletrentino.it,Quality newspaper/magazine,NA
giornalone.it,Quality newspaper/magazine,NA
globo.com,Commercial broadcaster,NA
goodmorningamerica.com,Commercial broadcaster,NA
granadahoy.com,Quality newspaper/magazine,NA
handelsblatt.com,Quality newspaper/magazine,NA
haz.de,Quality newspaper/magazine,NA
heraldo.es,Quality newspaper/magazine,NA
heute.de,Public broadcaster,1
hna.de,Quality newspaper/magazine,NA
hoy.es,Quality newspaper/magazine,NA
hr-fernsehen.de,Public broadcaster,NA
huelvainformacion.es,Quality newspaper/magazine,NA
huffingtonpost.co.uk,Digital-born news outlet,NA
huffingtonpost.com,Digital-born news outlet,NA
huffingtonpost.es,Digital-born news outlet,NA
huffingtonpost.fr,Digital-born news outlet,NA
huffingtonpost.it,Digital-born news outlet,NA
huffpost.com,Digital-born news outlet,NA
hulldailymail.co.uk,Tabloid newspaper,NA
humanite.fr,Quality newspaper/magazine,NA
ideal.es,Quality newspaper/magazine,NA
ilcorrieredellacitta.com,Quality newspaper/magazine,NA
ilfattoquotidiano.it,Quality newspaper/magazine,NA
ilfoglio.it,Quality newspaper/magazine,NA
ilgazzettino.it,Quality newspaper/magazine,NA
ilgiornale.it,Quality newspaper/magazine,NA
ilgiorno.it,Quality newspaper/magazine,NA
ilmanifesto.it,Quality newspaper/magazine,NA
ilmattino.it,Quality newspaper/magazine,NA
ilmessaggero.it,Quality newspaper/magazine,NA
ilprimatonazionale.it,Hyperpartisan media,NA
ilrestodelcarlino.it,Tabloid newspaper,NA
ilsecoloxix.it,Quality newspaper/magazine,NA
ilsole24ore.com,Quality newspaper/magazine,NA
iltempo.it,Quality newspaper/magazine,NA
independent.co.uk,Quality newspaper/magazine,NA
indiatimes.com,Quality newspaper/magazine,NA
inews.co.uk,Quality newspaper/magazine,NA
infolibre.es,Digital-born news outlet,NA
informazione.it,Hyperpartisan media,NA
infranken.de,Quality newspaper/magazine,NA
insideedition.com,Commercial broadcaster,1
insuedthueringen.de,Quality newspaper/magazine,NA
internazionale.it,Quality newspaper/magazine,NA
itv.com,Commercial broadcaster,NA
journaldemontreal.com,Tabloid newspaper,NA
jpost.com,Quality newspaper/magazine,NA
jungefreiheit.de,Hyperpartisan media,NA
kabeleins.de,Commercial broadcaster,NA
kentonline.co.uk,Digital-born news outlet,NA
kieler-nachrichten.de,Quality newspaper/magazine,NA
kn-online.de,Quality newspaper/magazine,NA
komonews.com,Commercial broadcaster,NA
ksta.de,Quality newspaper/magazine,NA
la-croix.com,Quality newspaper/magazine,NA
lagacetadesalamanca.es,Quality newspaper/magazine,NA
lagazzettadelmezzogiorno.it,Quality newspaper/magazine,NA
lainformacion.com,Digital-born news outlet,NA
lamarea.com,Quality newspaper/magazine,NA
lanazione.it,Tabloid newspaper,NA
lanouvellerepublique.fr,Quality newspaper/magazine,NA
lanuevacronica.com,Quality newspaper/magazine,NA
laopinioncoruna.es,Quality newspaper/magazine,NA
laopiniondemalaga.es,Quality newspaper/magazine,NA
laopiniondemurcia.es,Quality newspaper/magazine,NA
laopiniondezamora.es,Quality newspaper/magazine,NA
lapresse.ca,Quality newspaper/magazine,NA
lapresse.it,Digital-born news outlet,NA
laprovence.com,Quality newspaper/magazine,NA
laprovincia.es,Quality newspaper/magazine,NA
larazon.es,Quality newspaper/magazine,NA
larepublica.pe,Quality newspaper/magazine,NA
larioja.com,Quality newspaper/magazine,NA
lasexta.com,Commercial broadcaster,NA
lasprovincias.es,Quality newspaper/magazine,NA
lastampa.it,Quality newspaper/magazine,NA
latimes.com,Quality newspaper/magazine,NA
latribunadeespana.com,Hyperpartisan media,NA
latribune.fr,Quality newspaper/magazine,NA
lavanguardia.com,Quality newspaper/magazine,NA
laverdad.es,Quality newspaper/magazine,NA
lavoixdunord.fr,Quality newspaper/magazine,NA
lavozdegalicia.es,Quality newspaper/magazine,NA
lavozdelsur.es,Digital-born news outlet,NA
lavozdigital.es,Quality newspaper/magazine,NA
lbc.co.uk,Commercial broadcaster,NA
ledauphine.com,Quality newspaper/magazine,NA
lefigaro.fr,Quality newspaper/magazine,NA
leggioggi.it,Digital-born news outlet,NA
leggo.it,Tabloid newspaper,NA
lemonde.fr,Quality newspaper/magazine,NA
lep.co.uk,Quality newspaper/magazine,NA
leparisien.fr,Tabloid newspaper,NA
lepoint.fr,Quality newspaper/magazine,NA
lepopulaire.fr,Quality newspaper/magazine,NA
lesechos.fr,Quality newspaper/magazine,NA
lettoquotidiano.it,Digital-born news outlet,NA
lexpress.fr,Quality newspaper/magazine,NA
liberation.fr,Quality newspaper/magazine,NA
liberoquotidiano.it,Quality newspaper/magazine,NA
libertaddigital.com,Digital-born news outlet,NA
lincolnshirelive.co.uk,Quality newspaper/magazine,NA
linternaute.com,Digital-born news outlet,NA
linternaute.fr,Digital-born news outlet,NA
livenewsnow.com,Digital-born news outlet,NA
livesicilia.it,Digital-born news outlet,NA
lne.es,Quality newspaper/magazine,NA
local10.com,Commercial broadcaster,NA
local12.com,Commercial broadcaster,NA
lvz.de,Quality newspaper/magazine,NA
malagahoy.es,Quality newspaper/magazine,NA
manager-magazin.de,Quality newspaper/magazine,NA
marianne.net,Quality newspaper/magazine,NA
mdr.de,Public broadcaster,NA
mediapart.fr,Digital-born news outlet,NA
mediaset.it,Commercial broadcaster,NA
mediterraneodigital.com,Hyperpartisan media,NA
mercurynews.com,Quality newspaper/magazine,NA
merkur.de,Quality newspaper/magazine,NA
metro.co.uk,Tabloid newspaper,NA
metro.it,Tabloid newspaper,NA
miamiherald.com,Quality newspaper/magazine,NA
milanotoday.it,Quality newspaper/magazine,NA
mirror.co.uk,Tabloid newspaper,NA
mopo.de,Tabloid newspaper,NA
morgenpost.de,Quality newspaper/magazine,NA
morgenweb.de,Quality newspaper/magazine,NA
motherjones.com,Quality newspaper/magazine,NA
msnbc.com,Commercial broadcaster,1
mz-web.de,Quality newspaper/magazine,NA
naciodigital.cat,Digital-born news outlet,NA
naiz.eus,Quality newspaper/magazine,NA
nationalreview.com,Quality newspaper/magazine,NA
nbc.com,Commercial broadcaster,NA
nbcchicago.com,Commercial broadcaster,NA
nbcdfw.com,Commercial broadcaster,NA
nbclosangeles.com,Commercial broadcaster,NA
nbcnews.com,Commercial broadcaster,1
nbcnews.to,Commercial broadcaster,1
nbcnewyork.com,Commercial broadcaster,NA
ndr.de,Public broadcaster,NA
ndtv.com,Commercial broadcaster,NA
news.com.au,Digital-born news outlet,NA
news.de,Digital-born news outlet,NA
news12.com,Commercial broadcaster,NA
news4jax.com,Commercial broadcaster,NA
news5cleveland.com,Commercial broadcaster,NA
news64.net,Digital-born news outlet,NA
newsbreakapp.com,Digital-born news outlet,NA
newsday.com,Quality newspaper/magazine,NA
newser.com,Digital-born news outlet,NA
newsmondo.it,Digital-born news outlet,NA
news-mondo.it,Digital-born news outlet,NA
news-net.fr,Hyperpartisan media,NA
newsnow.co.uk,Digital-born news outlet,NA
newsok.com,Quality newspaper/magazine,NA
newspunch.com,Hyperpartisan media,NA
news-und-nachrichten.de,Digital-born news outlet,NA
newsweek.com,Quality newspaper/magazine,NA
nextquotidiano.it,Digital-born news outlet,NA
nordkurier.de,Quality newspaper/magazine,NA
noticias24.com,Digital-born news outlet,NA
notizie.it,Digital-born news outlet,NA
nouvelobs.com,Quality newspaper/magazine,NA
npr.org,Public broadcaster,NA
n-tv.de,Commercial broadcaster,1
nw.de,Quality newspaper/magazine,NA
nydailynews.com,Tabloid newspaper,NA
nymag.com,Quality newspaper/magazine,NA
nypost.com,Tabloid newspaper,NA
nytimes.com,Quality newspaper/magazine,NA
nzz.ch,Quality newspaper/magazine,NA
observer-reporter.com,Quality newspaper/magazine,NA
oggitreviso.it,Quality newspaper/magazine,NA
okdiario.com,Hyperpartisan media,NA
ondacero.es,Commercial broadcaster,NA
oregonlive.com,Quality newspaper/magazine,NA
orf.at,Public broadcaster,NA
orlandosentinel.com,Quality newspaper/magazine,NA
ostsee-zeitung.de,Quality newspaper/magazine,NA
ouest-france.fr,Quality newspaper/magazine,NA
panorama.it,Quality newspaper/magazine,NA
parismatch.com,Tabloid newspaper,NA
paris-normandie.fr,Quality newspaper/magazine,NA
patriotnewsalerts.com,Hyperpartisan media,NA
pbs.org,Public broadcaster,NA
periodistadigital.com,Hyperpartisan media,NA
phoenix.de,Public broadcaster,1
pi-news.net,Hyperpartisan media,NA
plymouthherald.co.uk,Quality newspaper/magazine,NA
pnp.de,Quality newspaper/magazine,NA
politico.com,Digital-born news outlet,NA
politikstube.com,Hyperpartisan media,NA
post-gazette.com,Quality newspaper/magazine,NA
presseportal.de,Digital-born news outlet,NA
primocanale.it,Commercial broadcaster,NA
prosieben.at,Commercial broadcaster,NA
prosieben.de,Commercial broadcaster,NA
publico.es,Digital-born news outlet,NA
que.es,Tabloid newspaper,NA
quifinanza.it,Digital-born news outlet,NA
quotidiano.net,Quality newspaper/magazine,NA
quotidianodipuglia.it,Quality newspaper/magazine,NA
quotidianodiragusa.it,Digital-born news outlet,NA
quotidianopiemontese.it,Quality newspaper/magazine,NA
rac1.cat,Commercial broadcaster,NA
racocatala.cat,Digital-born news outlet,NA
radioclassique.fr,Commercial broadcaster,NA
radioitalia.it,Commercial broadcaster,NA
rai.it,Public broadcaster,NA
rainews.it,Public broadcaster,1
raiplay.it,Public broadcaster,NA
raiplayradio.it,Public broadcaster,NA
realclearpolitics.com,Digital-born news outlet,NA
redstate.com,Hyperpartisan media,NA
regio7.cat,Quality newspaper/magazine,NA
repubblica.it,Quality newspaper/magazine,NA
republica.com,Digital-born news outlet,NA
resistancerepublicaine.eu,Hyperpartisan media,NA
reuters.com,Quality newspaper/magazine,NA
revolutionpermanente.fr,Hyperpartisan media,NA
rhein-zeitung.de,Quality newspaper/magazine,NA
rightwingtribune.com,Hyperpartisan media,NA
riminitoday.it,Quality newspaper/magazine,NA
ripostelaique.com,Hyperpartisan media,NA
romatoday.it,Quality newspaper/magazine,NA
rosenheim24.de,Digital-born news outlet,NA
roughlyexplained.com,Digital-born news outlet,NA
rp-online.de,Quality newspaper/magazine,NA
rt.com,Hyperpartisan media,NA
rtbf.be,Public broadcaster,NA
rte.ie,Public broadcaster,NA
rtl.de,Commercial broadcaster,NA
rtl.fr,Commercial broadcaster,NA
rtl2.de,Commercial broadcaster,NA
rtve.es,Public broadcaster,NA
saechsische.de,Quality newspaper/magazine,NA
salon.com,Digital-born news outlet,NA
sat1.de,Commercial broadcaster,NA
sbs.com.au,Public broadcaster,NA
seattletimes.com,Quality newspaper/magazine,NA
secoloditalia.it,Hyperpartisan media,NA
sfgate.com,Quality newspaper/magazine,NA
shz.de,Quality newspaper/magazine,NA
sky.com,Commercial broadcaster,NA
sky.it,Commercial broadcaster,NA
skytg24news.it,Commercial broadcaster,1
slate.com,Digital-born news outlet,NA
slate.fr,Digital-born news outlet,NA
spiegel.de,Quality newspaper/magazine,NA
splinternews.com,Hyperpartisan media,NA
sputniknews.com,Hyperpartisan media,NA
standard.co.uk,Tabloid newspaper,NA
startribune.com,Quality newspaper/magazine,NA
stern.de,Quality newspaper/magazine,NA
stimme.de,Quality newspaper/magazine,NA
strettoweb.com,Digital-born news outlet,NA
sudinfo.be,Quality newspaper/magazine,NA
sudouest.fr,Quality newspaper/magazine,NA
sueddeutsche.de,Quality newspaper/magazine,NA
sun-sentinel.com,Quality newspaper/magazine,NA
suntimes.com,Tabloid newspaper,NA
swp.de,Quality newspaper/magazine,NA
swr.de,Public broadcaster,NA
swr3.de,Public broadcaster,NA
tag24.de,Digital-born news outlet,NA
tagesschau.de,Public broadcaster,1
tagesspiegel.de,Quality newspaper/magazine,NA
taz.de,Quality newspaper/magazine,NA
telecinco.es,Commercial broadcaster,NA
telegraph.co.uk,Quality newspaper/magazine,NA
telemundo.com,Commercial broadcaster,NA
tempi.it,Digital-born news outlet,NA
termometropolitico.it,Digital-born news outlet,NA
tf1.fr,Commercial broadcaster,NA
tgcom24.it,Commercial broadcaster,1
theatlantic.com,Quality newspaper/magazine,NA
theblaze.com,Hyperpartisan media,NA
theconversation.com,Digital-born news outlet,NA
thedailybeast.com,Digital-born news outlet,NA
theepochtimes.com,Hyperpartisan media,NA
thefederalist.com,Hyperpartisan media,NA
thegatewaypundit.com,Hyperpartisan media,NA
theguardian.com,Quality newspaper/magazine,NA
thehill.com,Quality newspaper/magazine,NA
theperspective.com,Digital-born news outlet,NA
thesun.co.uk,Tabloid newspaper,NA
thetelegraphandargus.co.uk,Quality newspaper/magazine,NA
thetimes.co.uk,Quality newspaper/magazine,NA
time.com,Quality newspaper/magazine,NA
timesofisrael.com,Digital-born news outlet,NA
torinotoday.it,Quality newspaper/magazine,NA
trevisotoday.it,Quality newspaper/magazine,NA
trinitymirror-news.co.uk,Tabloid newspaper,NA
tv5monde.com,Public broadcaster,NA
tz.de,Tabloid newspaper,NA
udinetoday.it,Quality newspaper/magazine,NA
uktv.co.uk,Public broadcaster,NA
uol.com.br,Digital-born news outlet,NA
usatoday.com,Tabloid newspaper,NA
usnews.com,Quality newspaper/magazine,NA
valenciaplaza.com,Digital-born news outlet,NA
valeursactuelles.com,Quality newspaper/magazine,NA
vice.com,Digital-born news outlet,NA
vilaweb.cat,Digital-born news outlet,NA
voanews.com,Public broadcaster,NA
volksstimme.de,Quality newspaper/magazine,NA
vox.com,Digital-born news outlet,NA
vox.de,Commercial broadcaster,NA
voxnews.info,Hyperpartisan media,NA
vozpopuli.com,Digital-born news outlet,NA
washingtonexaminer.com,Quality newspaper/magazine,NA
washingtonpost.com,Quality newspaper/magazine,NA
washingtontimes.com,Quality newspaper/magazine,NA
watergate.tv,Hyperpartisan media,NA
watson.de,Digital-born news outlet,NA
waz.de,Quality newspaper/magazine,NA
wdr.de,Public broadcaster,NA
wdr2.de,Public broadcaster,NA
weau.com,Commercial broadcaster,NA
welt.de,Quality newspaper/magazine,NA
westernjournal.com,Hyperpartisan media,NA
wired.com,Quality newspaper/magazine,NA
wired.it,Digital-born news outlet,NA
wiwo.de,Quality newspaper/magazine,NA
worldjusticenews.com,Digital-born news outlet,NA
wpxi.com,Commercial broadcaster,NA
wsbtv.com,Commercial broadcaster,NA
wsj.com,Quality newspaper/magazine,NA
wxyz.com,Commercial broadcaster,NA
zdf.de,Public broadcaster,NA
zeit.de,Quality newspaper/magazine,NA
